time,user,rating,comment,votes
2006-11-14 17:10:21,露娜peace,3,你还记得张敏么？胸很大的那个,385
2009-06-29 10:02:39,流言,4,“老爹，我要上京考武状元。” “儿子！我们苏察哈尔家等你这句话等了整整20年了！” “错，我是为一个女人。” 　 “好！为女死为女亡，为女去考状元郎！英雄！敢问是谁家女子？” “怡红院如霜姑娘。” “啊？！妓？！！” “有何不妥？” “敢爱人之所不敢爱，品味与众不同，老爹我佩服你！”,1735
2007-10-23 19:33:20,安东,4,这其实是一部讲父爱的电影。,1475
2008-08-06 13:36:14,高歌,5,皇帝说：你们丐帮这么多人，一天不解散，我一天不安心啊！苏乞儿说：丐帮有多少人，不是由我决定的，而是由你决定的。如果你是位明君，人人都有饭吃，谁愿意做乞丐？,2213
2008-05-17 14:51:49,趙小漁,4,我喜歡看豎起的打分牌上，最後一張上書“無恥”……,509
2012-09-19 22:28:09,The Woman,5,会有福报，苦尽甘来，4个字在这个片子里是如此透彻。 @2012-09-19 22:28:09,717
2009-06-08 23:27:54,浑浊儿,4,小时候觉得睡梦罗汉拳是比醉拳还牛气的武功，现在还是这么觉得,381
2009-02-03 14:34:38,大佑,3,張敏真是美麗極致,322
2018-04-18 21:06:41,Stark实习生,4,苦海无涯。苦尽甘来。人总是要经历大起大落才能真正重生。另外一个小疑问，苏乞儿最后是跟姐妹俩在一起了嘛？,228
2017-03-01 20:03:09,甜椒Oli,5,人要有梦想 万一见鬼了呢,251
2015-12-30 01:09:49,Leon Winters W,4,很多人都会说《喜剧之王》和《大话西游》，它们也的确是个中翘楚。但是比起前者，这部《武状元苏乞儿》也不会差到哪里去。基本上，个人觉得这是星爷第一部明显反应出悲喜剧结合特性的作品。,80
2017-11-07 13:06:06,遇见彩虹🌈,4,喜欢张敏，很经典的星爷的片子。,103
2016-10-07 16:09:27,吉永小百合,5,里面苏乞儿和亲爹吃狗饭，吃到狗饭里面有肉丝的时候，开心的说爹里面有饭，那种惊喜开心太tm刺激人了。,124
2010-10-06 23:22:22,游牧人·芳汀,0,我明白为什么小时候不喜欢这部电影了，因为星星是我心中的英雄和王子，我只想看他快快乐乐嘻嘻哈哈地在电影里卖萌耍宝，我不想看到他失意难过的样子，所以这部戏里他被抄家后的落魄惨状看得人很不舒服。可是长大后自己也经历了成长的阵痛，再重看苏乞儿时却能更深地体会苏灿在嬉笑怒骂背后的喜与悲,137
2019-11-07 22:13:06,赱馬觀♣,4,与卓别林的小黑胡罗圈腿和金凯瑞的极致夸张橡皮脸不同，周氏喜剧在无厘头搞笑之外的确还有明显的正剧脉络和角色弧线，而要想在这个维度上获得成功，一个长得英俊（至少不能是纯粹意义的丑星）主人公几乎是必不可少的，特别是这些故事大都涉武，而惩恶扬善或东山再起的主人公，更需以高强/英俊双重加持——金庸古龙小说主人公谁是丑男？……所以说，周星驰的不解和反问的合理之处：俺家电影，明明就有正剧脉络与偶像成分，趋近许冠杰在最佳拍档，为什么你鲁豫对这句话的反应好像我走的是许冠文风格，耍帅也只是单纯为了搞笑？但另一方面，他可能也低估了喜剧无厘头那个部分对于观众情绪的主宰能量。你是也包含了正剧，你自己长得也不难看，但架不住部分观众已经嗨到拽不回来了。,21
2018-03-01 08:51:12,Lonely,4,7.5/10 分。2018.03.01，重看，港版蓝光。前面比较搞笑，后面就稍微差了点。几块大石头飞来的时候，钢丝都没擦干净。。。印象最深的台词是，“如果我没看错的话，你会成为乞丐中的霸主！乞丐中的霸主？那是什么？还是乞丐。。。”结尾，拿金饭碗讨饭的时候，3个小孩中有1个是小女孩的杨幂。那可能是杨幂一生中演技最高的时候。。。,29
2018-04-18 22:16:37,嘉兴路派出所,5,好看的啦啦啦！！！！星爷！！！,65
2018-04-18 22:17:33,听风是雨,5,周星驰前期作品真的都很经典，超级爱看，每一本电影都看了好几十遍了，超级喜欢，可惜后期的作品反而没有早期的精髓了,52
2018-04-20 18:53:29,回忆与否之,3,如今看这片也是够俗套的，很多情节也是套路到了生硬的地步，从苏灿的“惨”到他误打误撞“梦”成了“睡罗汉”，整个过程就像学生背文章一样苍白无力。有意思的倒是些细节，譬如苏灿选丐帮帮主的时候，背景居然是圆明园，而他假装被洪七公附身那段笑哭了，还有他睡觉时很可爱的呼声，以及最后的龟波气功,93
2017-04-18 21:50:53,小川   靜,4,"周星馳+張敏...能不好看嗎??當年張敏真的很美,搭上周星馳無厘頭的表演方式,為90年代的電影寫下賣座奇蹟.武狀元~個人覺得周星馳好看的電影排名前三.",21
2010-12-04 01:49:08,Matzka,3,"今日再看, 竟发现扮演皇帝的那个居然有几分姿色, 尤其是侧面, 要么我以前不好色所以没有发现, 又或者他其实也不帅.....",87
2017-06-19 22:04:00,梦里诗书,4,《武状元苏乞儿》所让人看到的不仅是喜闻乐见的周星驰无厘头风格，其更也还是一部饱含着爱恨情仇，用悲喜两交融的佳作，透过周星驰饰演的苏灿，他从武状元到乞丐再东山再起的过程，那大喜大悲的剧情张力，使世态炎凉，人情冷暖被如此洒脱的呼之欲出。,22
2008-06-02 21:16:05,九尾黑猫,2,太夸张反而没意思,11
2018-06-11 08:01:03,欣欣向荣,5,打狗棍法很神奇，梦中教授,64
2018-04-19 07:27:54,相伴,4,经典制作啊，星爷每次都是给你不一样的惊喜，不一样的喜剧！,22
2013-11-03 03:39:09,安短,4,看了不知道是第几遍了，连对白都背下来了，突然觉得港式的武侠片就好像香港的城市规划一样，拥挤得让人窒息，可是又井然有序，而且还到处是充满意趣的景观小品。,17
2022-12-19 18:07:15,贺兰迈克,2,有这样的爹啥状元考不上啊。香港武侠的一大经典特征就是主角啥也不干就能强行被大师追着喂武功，就跟香港自己的发育路程一样。,0
2018-10-04 21:16:21,肖浑,3,爱儿子爱到吴孟达这份儿上，到极致了吧。,23
2017-03-17 20:44:44,江寒园,5,【于无所希望中得救】：功夫，苏乞儿，都历经三个过程：肤浅表面的自己-痛苦的嬗变-新生。从苦海无涯，到苦尽甘来。在你低潮时，老爹总会永远支持。,9
2011-07-02 00:24:08,猫,3,今天总算有机会把高清版完整看了一遍，之前都是断断续续看的  这个片子在周的片子里倒不算恶心的  就是武打变成了神话 感觉有点怪 情节也莫名其妙,5
2017-08-23 17:41:04,ZWW,4,回不去的童年啊,21
2018-11-03 01:04:06,William,4,4星，或者加0.5个老片感情星，4.5星吧。小时候看过，还记得不少桥段，印象最深的是苏灿赢了比武后，意气风发地绕着校场奔跑、跳跃，大笑着朝天一指。还有影片结束前他对皇帝说的，决定丐帮人数的不是我而是你，若国泰民安，谁又会想当乞丐呢？几个月前吧，又看了一次。这次感动我的，则是苏灿的师傅，将荒林野地中无名墓碑上的题字『苦海无涯』改作了『苦尽甘来』。另外，片尾有彩蛋，《火星异种》里的初代屁步甲，李上帝，友情出镜,7
2019-02-16 14:52:46,翠蝶🌸羽生✨💫,4,《武状元苏乞儿》，星爷很有代表性的作品，真正的、彻底的，悲喜杂糅。由于不同的风格，也许很难把它和经典神作《大话西游》来相比较，但是让我记得很清楚的是，看《大话西游》的结尾，我的眼泪是一点一点地浮出来的，然而《武状元苏乞儿》里苏氏父子落难的一段，却让泪水一下子泛滥开来。是的，短短的一个半小时，它能把大悲大喜、爱恨情仇、人情冷暖表现得淋漓尽致。,9
2013-11-28 10:48:59,十一伏特,4,武状元变小乞儿，锦衣玉食的纨绔子弟到灰头土脸时无颜相认，潦倒后的父子情和恋人心真是最催泪也最光辉。天理教赵无极那条线就显得不科学不合逻辑了，既然要杀皇帝又何必事先大费周章，到最后倒显得丐帮成为保皇派了，逆转得说不通。（2021/06/19重看）和70年代末那波的醉拳系列相似，小子遇难、路遇高人、学拳复仇的套路。,2
2021-10-04 16:58:53,YiQiao,3,除了结局和添加的各种笑料 底核还是蛮悲伤的 父亲对儿子无条件无理由的绝对信任和支持本身就是一种天方夜谭,7
2018-07-14 10:17:38,世界尽头,4,周星驰这部片子不光是搞笑了，还有亲情等元素在其中，最后正义战胜邪恶。张敏，我的女神，对你就是深深的迷恋。,12
2020-03-15 01:15:34,一只迷茫偷懒鸭,4,一部绝对被低估的周星驰电影，就像星爷细腻的演技一样，在喜剧的大环境下容易被忽视。苦海无涯、苦尽甘来，人生的大起大落带来很多唏嘘，也有父子情的感动，台词方面嬉笑怒骂皆成文章，吴孟达对儿子的期盼融化在夸张的语言之中，神来之笔还有最后苏灿与皇上的对话：-丐帮几千万弟子让我很不安心。-丐帮弟子数量是由你定不是我定，如果你真的英明神武，使得国泰民安，那谁愿意去做乞丐？,17
2018-07-14 10:44:37,波波维奇,4,星爷这部片子除了搞笑还有些温情，感受到了父子情深。,5
2020-04-24 16:41:06,windy,5,印象最深的就是丐帮弟子抬着星爷在长城上奔跑，配上配乐《长路漫漫伴我闯》真是绝了！皇帝狩猎的排场也很大，麒麟烟一下子迷倒一批不明觉厉~星爷考取武状元时耍双节棍很帅，致敬李小龙；因为不会写字被赵无极在皇帝面前揭穿作弊沦落为乞丐很有教育意义；其实影片更多表达的是父子情，吴孟达演的老爸永远无条件支持儿子，虽然多少有些溺爱，但关键时刻也知道鞭策儿子，比如把儿子跟狗锁在同一房间（然而忘记给棍子了^~^）；洪日庆托梦教授的睡梦罗汉拳有点醉拳的意思；降龙十八掌最后一掌就是把前面十七掌融合也算自圆其说；张敏和陈慧仪都很养眼~星爷为数不多的武侠片，赞一个！美中不足的是剧情也些跳跃，主要是苏灿父子俩当乞丐的一段以及苏灿逆袭成丐帮帮主的过程有些草率~,21
2020-08-16 21:56:26,曼靑,4,其实故事的梗概和很多台词我几乎都会背，但是为了豆瓣的武侠电影徽章而重看。苏灿第一次见如霜姑娘、在风月场所挥霍万贯家财之时，当时如霜姑娘为了让苏灿知难而退，说：「未来在一起之人需武功盖世，状元之才。一人之下，万人之上。」意气风发的苏灿想都没有想就答应了，还主动要了婚期，他自信得觉得当时自己就是武状元。不知道为什么，在我还是7、8岁的时候我就很喜欢这部电影，我们这一代人的很多电影记忆都是和周星驰相关的，这部电影一直是我心中的周星驰最佳之一。这才是真正的侠之大者、为国为民。最后，皇帝说：「你们丐帮这么多人，一天不解散，我一天不安心啊！」苏乞儿说：「丐帮有多少人，不是由我决定的，而是由你决定的。如果你是位明君，人人都有饭吃，谁愿意做乞丐？」,5
2021-03-14 09:44:42,向张伟丽学习中,5,很多情节都好想哭，想到达叔已经去世更是难受，唉长路漫漫任我闯出来的时候，我就知道是霑叔写的词！一查果然如此。我爱霑叔！不过一开始以为是霑叔唱的没想到是林子祥。但也很好，那种苍凉雄劲味足了。配乐那段镜头很棒啊，剪辑和运镜我爱了。第n多次被星宝的颜值演技所震惊，真的是老天赏饭吃啊，值得n刷,16
2019-02-17 10:41:25,东篱,5,星爷的电影永远是那么经典，张敏太惊艳了。那时候是颜值巅峰了吧,11
2015-08-07 16:51:27,蔡小马,4,一如既往的周星驰式的喜剧片，但最后和皇帝的对话拔高了整部电影的水平。小杨幂真可爱，怎么长大了就那样了呢？,1
2022-07-30 01:05:55,“∞”,3,有很重的自尊心，自信的资本却没有了，很容易自暴自弃，所以要强的人必须变强才能活出人样。,4
2018-07-12 08:56:04,哈哈哈啊啊啊,4,周星驰的无厘头我还是能笑的，笑过之后你能思考人生。,6
2018-12-01 01:02:56,傲弑晨风,3,我本是广州提督之子，虽大字不识，但武功尚可。虽个性张扬，但本性善良，直到遇见你，为你一句:你若考上状元，我便嫁给你。我携家远上北京虽小人暗算终得状元，却因不会写字，革职抄家，被废武功，手不能提，肩不能扛，病病殃殃。老父为我抛头露面，乞求钱粮，只为一日三餐之饱。我于心不忍，终自己拿上饭碗沿街乞讨，谁料遇上你，我终于还是不敢相认，涂面不识，你我虽见一面，你终究还是记得我的。送我钱粮，火炭，领我入丐帮，我虽麻麻木木只是心已死，所以整日行尸走肉，父亲看见又于心不忍，教我重新练武，可我早已经心已死。         天将降大任与斯人已，必先苦其心志，劳其筋骨，饿其体肤，终究因前面造的因而学会睡罗汗，又成为丐帮之主，却没有了你。我统率丐帮，救你救国，历经千辛万苦拯救皇帝，终于与你长相厮守。,18
2022-08-02 20:59:22,西瓜大侠女,4,30岁的周星驰、40岁的吴孟达、25岁的张敏。虽然无厘头喜剧套路已显、看完也不会怎么回味，但看的时候开心。苏老爷对儿子那无条件的信任和爱，还是打动人的。夸张是肯定的，被打倒后再雄起哪里那么容易呢，终归是好人好报。可见李小龙武打影子。赵无极（演员叫徐少强）特别特别眼熟就是不知道看过他演的什么！不明白丐帮干嘛要爬长城啊哈哈哈哈…！片尾有点拍摄花絮。粤语版内嵌繁体中字。没有周国配那标志性的魔性大笑，倒也没什么不适应。最后字幕显示应是2010年修复或重制？不过画面粗糙颗粒感还是挺重的。资料馆“香港经典电影专题”我看的最后一部，本轮第二场。馆里用举重那张做印章也是很幽默了！8.5、11号再各有场笑傲和新龙门这展就结束了。这几天真闷热啊！！幸亏馆里新风空调不错。壬寅年七月初五。今晚真热闹。四五成满。,1
2013-03-14 02:56:14,䒳,4,凤凰卫视电影台晚上10点多经常播。看了不下十遍,1
2018-03-31 10:20:09,野人阿韦龙,4,4星， 星爷的经典电影，也算是星爷位数不多的动作片之一了，和吴孟达真是绝配。,1
2018-12-18 20:00:08,Superhat,3,如何简洁而不显得过分仓促地拍一部大时代个人成长故事。港片真的要命，现在回过头看，真的是要讲的事很多，唯恐太过单薄。纨绔子弟两次振作，还都是洗心革面脱胎换骨，动力还都是爱情，要有少年初成还要有英雄诞生，很丰富了。对功夫的想象和呈现全是猎奇和夸张，还非常多，成败都在其中。以喜剧解构时代，两头都弱了很多。陈嘉上和周星驰还是更适合以街头智慧做讽刺文章，时不时戳人一下，段子似的，不允许停顿凝思。抄家一段再长一点也许能增加一点深度而不伤大雅，拿起这道题却露出怯意，又回到大娱乐片阵营，哪边都不彻底。,7
2010-05-19 14:03:47,安魂,3,星星的电影，嬉笑怒骂，皆成人生。片尾的花絮，那时好快乐，尽管也可能只限于屏幕上。20200513二刷，前半部分很不错，人情冷暖，世态炎凉，结果到后半段又开始走男频金手指了，烦不烦啊。,1
2021-02-19 20:34:08,妍春,5,豆瓣徽章补完。少年记忆追忆。101分钟版本。连看两部《鹿鼎记》，不同于以往的观感让我回想起这部电影，找来重补掉。这就是我在观看Woody Allen某部电影时所思考过的两种状况之孰高悖论——对某些演员来说，强求“演员成就影片”会带来平抑效果，盲目地去掉顶端优势而追求平均，会损失大量天赋可得的风味。对这些能够闯破空间限定的演员来说，导演做出适当的冒险并驾驭险途变量的能力就是非常值得玩味的地方了，所谓搭台唱戏，用力于不可见，无短期收获无迅捷变现，很考验导演的定力与控局力。这部片做得非常好。甘当绿叶的吴孟达也没有让父子关系主题抢夺周星驰的挫折教育戏份，层次感非常好。苦海无涯，苦尽甘来，感谢诸位点拨，我辈当自强。,2
2020-05-21 18:08:53,拔剑四顾心茫然,4,家业全输，武功尽废，却在乞讨中感受人间真情的可贵。自信全无，斗志尽失，却在睡梦中领悟随遇而安的真谛。享尽人间荣华富贵，方可识尽天下英雄。尝尽人生苦辣酸甜，才能看尽世间冷暖。嬉笑怒骂之中的一场梦，梦见皇帝眼中的千秋万世，梦见乞丐眼中的儿女情长，人总是把拥有的视做真实，失去的当做异想。陈嘉上动作系列里面比较特殊的一部，袁祥仁客串洪日庆，并身兼武指与副导演，为本片起到了不可或缺的作用，睡罗汉的武打设计有板有眼，徐少强饰演的赵无极更是令人眼前一亮，飞身取人头一幕霸气又诡异。降龙十八掌的设计非常糊弄，大量的爆炸式神功让人很难不联想到徐克，但融合的不好。故事核心是破而后立，败而后成，唯有将圆满的人生击碎，才有可能燃起斗志，创出一番全新人生，然而苏灿的斗志是做梦得来的，有点生硬。顾嘉辉配乐无敌，加分不少。,5
2019-05-10 05:44:36,夏日的小西瓜,4,3.5星。以前看过很多次片段，今天终于完整地看完了。很少见地庆幸自己过了很多年才看，毕竟只有年纪阅历到了一定的积累，对于这种悲欢沉浮才能有更好的感悟与理解。话说，皇帝长得不错，以及，最后的结尾是苏灿和姐妹俩都在一起了吗？,0
2018-07-12 18:47:17,楚翰彻,3,补，沦落的窘迫为无厘头的荒诞提供了更多元的维度，于此悲喜两方面其实都得到了增强，奈何传奇故事的套路很快就破解了这个维度，最终流于俗套。,4
2011-07-26 09:07:46,Memoricry,3,老婆，这部电影还凑合吧，嗯，没有那么喜欢，呼呼，老婆，抱抱！嗯，你现在已经睡觉了，嗯，反正你也不会管我的，老婆，我想你！可是你一点都不想我，老婆，你想我，可是你选择在回忆里想我，你还想见我吗？,2
2011-04-30 21:59:28,冥王星的灯笼裤,5,周星驰电影里特别喜欢的一部，苦尽甘来，从前期人物塑造到正反派对决，大场面和笑点全部都有，面面俱到，最后全家仍回归乞丐生活令人动容。,1
2013-09-12 12:17:19,影毒肥佬,4,"可能是星仔最正劇的一次,  他和吳孟達真的飾演父子,  火花四射,  這部演出比他少林足球或西遊記更值的拿影帝!!",1
2021-02-12 22:22:12,Mr.Graceless,3,高清1080P重刷，故事是不可一世的主角从云端跌落凡尘，陷入绝境后返璞归真，重新崛起的故事，抛掉济人济世的大主题，听起来有点像四年后的《食神》了。场面戏交足功课，部分景似乎还是在北京取的，但决战段落拍得略简单，星爷VS徐少强和丐帮VS官军割裂感严重。仔细一看，主创团队还挺豪华，摄影钟志文（动作戏节奏好），剪辑邝志良，服装区丁平，武指袁祥仁（他还客串了老乞丐洪日新，和自己在《功夫》里的角色遥相呼应），主题曲顾嘉辉×黄霑×林子祥（阿Lam唱着「迎入日月万里风，笑揖清风洗我狂，来日醉卧逍遥，宁愿锈蚀我缨枪」，画面是苏灿带着丐帮浩浩荡荡行走于长城之上，热血得让人霎时忘掉了这是部喜剧），倒衬得导演陈嘉上黯淡不少（喂喂喂你还安插自己的老婆演女二）。王钟戴着胡子演莫大叔我是完全没认出来，杨幂客串孩童一枚。,2
2008-04-11 07:13:02,L.C.,4,2008.04.11//2021.02.21今天重温，恰好看到吴孟达进医院的新闻，又联想到前一阵《王牌》他身体不好先去后方坐下的镜头和说的话，还有他前一阵拍的网大……一定要挺过去阿达叔。,1
2011-05-27 00:19:00,安狄,3,周星驰根本就不需要动作来表演喜剧。,3
2022-08-21 15:35:41,STAYREAL,4,喜剧的内核是悲剧，“如果君王贤明，国泰民安，怎么会有那么多人去当乞丐呢？”挺讽刺的。剧情略无聊，男主一开始就很幸运也很幸福，有一个可以说是溺爱儿子的父亲，一直衣食无忧，直到考取武状元。虽然文科有作弊，但是武状元就是很大的不公，然后人生急转直下，比较感动的是男主的父亲一直很爱他。很绝大多数武侠套路一样，男主的崛起在于顿悟和大师点醒，大师说他失去的不止是金钱，而是“尊严和自信”，其实挺深刻的。女主真的很漂亮呀！,0
2014-12-04 16:17:41,muran,4,为女死，为女亡，为女上京考状元；享尽人间富贵，亦尝尽人间苦楚；结尾苏乞儿众孩子中有幼时的杨幂,2
2012-03-08 15:41:48,yezzi,4,今天三八节。公司放上午半天。我11点起床，赖床，胡乱吃点东西，江苏卫士正在放苏乞儿。周星驰的幽默“你怎么在这里呀，这说来就话长了”,1
2016-09-21 14:48:26,我是鬼鬼,4,星爷对于人生的大起大落应该有着十分深刻的体会吧……,3
2006-06-17 21:42:50,狐,3,嗯，又看了一遍，少说有看了三四回了吧，哈哈。还是蛮搞笑的。,0
2011-09-28 01:22:51,阿笨,4,在有录像带那年代看的，带子最后给我用来拆来玩了,0
2021-02-01 20:52:21,朴实无华的阳光,3,星爷还是演员时的作品，但是很具他独有的特色，其实那段时间星爷的作品蛮多雷同的，但是同样也是他自己孕育作品的时候。,1
2019-08-14 16:10:50,山下猫,3,居然是92年的，在周的电影里别具一格，父子更有母子情。长城是实景，圆明园不知道是不是搭景，皇帝的施政决定丐帮群体大小,0
2010-06-11 15:56:27,puma1020,4,我看阁下从头到脚趾头 没有一个地方不露出乞丐的型格~,1
2013-03-30 17:09:54,韧勉,3,呵呵呵~类似韦小宝式的结局,0
2011-05-04 19:08:04,copymie,3,这部是电视台播的最频繁的,0
