time,user,rating,comment,votes
2011-05-31 21:59:48,望仔放弃减肥了,5,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】,3117
2008-01-10 16:52:45,老鸡｜扶立,5,周星星电影中最喜欢的一部,2520
2010-06-03 17:01:20,Q。,4,以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆,3364
2013-05-23 00:19:57,进宝,0,“哇你怎么穿成这样啊？你不是演主角吗？不管你是主角也好，跑龙套的也好你都要养我一辈子的啊！呐，试试，看合适不合适？哇红色的，唇膏印啊，你去鬼混啊！呐，这次我放你一条生路啊，再有下次，我不给你饭吃。走，走啊。看什么看？不服气呀？打我呀，笨蛋！ ”,1279
2011-01-12 19:56:39,冉7 _Pro4.01,5,那时候的她无论多少流言蜚语都无所谓,2330
2006-07-18 14:18:42,大宸,4,我养你啊！,4749
2005-12-13 23:06:02,missfaye,5,“我是一个演员”，我最爱的周星驰作品，笑得流泪,2041
2006-05-01 02:27:50,暖鱼,3,失望！太想真诚，倒显得做作了,497
2005-09-04 11:41:53,大头绿豆,5,星爷最好的三部电影之一。,2182
2021-12-22 04:33:42,余莽,5,这电影我真是看一次哭一次；柳飘飘织着毛衣等尹天仇回来那场戏，小人物的爱卑微到连确认都不敢，只好扯着嗓门吵吵嚷嚷，害怕下一句他就会说：“我不要你了。”幸好尹天仇说的是“柳飘飘，我爱你。”,490
2014-05-22 13:34:56,胡子,4,“去哪里啊？”“回家。”“然后呢？”“上班咯。”“不上班行不行？”“不上班你养我？”“嗨！”“又怎么了？”...“我养你啊。”“你先照顾好你自己吧，傻瓜。”接着张柏芝在计程车上哭成泪人，这一段真是演得太好太好了。,1613
2009-09-08 23:14:41,♣lùlu♣,4,我不是真的要你有钱才能养我，我只需要你为了我放弃声名的勇气,1196
2007-06-24 10:27:05,战国客,5,戏梦人生，笑中带泪，好作品,968
2008-09-11 23:30:16,明珠一颗孙小美,4,你负责美丽妖艳，我负责努力赚钱,1163
2006-01-08 23:18:00,薇羅尼卡,4,又有什么？谁说一个跑龙套的不能爱上一个妓女？,909
2018-03-28 10:38:31,bekey,5,不工作你养我吗？我养你啊！尹天仇对柳飘飘的爱就是这么简单又真挚，没有太多甜言蜜语，却一句让你温暖心窝。虽然事业屡屡受挫，但是不妨碍他那份对演员事业的热爱。喜欢他这种不怕挫折迎难而上，有机会会牢牢把握的人。但是，如果只为生计，有时候可能也要看方向的选择。但是尹天仇好像要追梦！祝福！,473
2018-03-27 09:21:23,东篱,5,张柏芝将柳飘飘这个角色演绎得很好，集美丽与清纯于一身，特别是转身整理头发那幕，特别撩人心弦。,286
2006-01-02 15:02:44,寂地,5,我没道理的又哭了.但是这个电影结尾太奇怪了~55多看星星的电影人生会变得开朗哟!,225
2009-05-17 19:53:44,无所谓则无所畏,4,我养你啊,1063
2007-11-17 05:19:41,杜边生,0,第一次在正规电影里看见女优服,277
2018-02-24 22:42:12,清欢,5,张柏芝真的好美，有一段时间我觉得她不是很美，我错了，她真的特别特别美~天生的演员,194
2012-08-18 01:45:24,朝暮雪,4,聚焦小人物的高光时刻，一个是龙套，一个是小姐，虽然身份卑微仍然怀揣着梦想。然而有梦想是一回事，能否实现梦想又是另一回事。尹天仇和柳飘飘心向着九重云霄，却又总是被现实的引力拉回地面，摔个遍体鳞伤，但是仍然不忘初心、童心未泯，因为“天亮了就会很美”。我爱你并非你做了男主角，你做龙套也要养我；我不会飞黄腾达了就离你而去，即便回到原点也要和你一起上路。成龙客串最惊喜，夜总会和宴会的交叉剪辑最虐心，“我养你啊”最感人。没有鸡汤和套路，只有真实和走心。酸甜苦辣，喜怒哀乐，不仅是《喜剧之王》，更是生活的真实写照。,245
2012-01-30 16:28:29,Morning,3,这是一个我怎么都喜欢不起来的男角色。相反莫文蔚戏不多但完成度非常之高。,86
2008-08-02 01:49:36,高歌,5,“没关系，天亮了就会很美的”,186
2017-03-19 10:34:51,大耳朵图图_,4,星爷的电影走出了一条独辟蹊径的喜剧之路，以前只记住了他的无厘头，长大一点再回头看却看到了很多不一样的东西，略略理解了一些小人物卑微的挣扎。还有年轻的张柏芝是真的好看,353
2018-03-07 20:51:13,如是,5,论一个演员的自我修养。张柏芝好漂亮啊。,90
2017-03-07 08:06:56,幕天席地,5,那个时候的演技有灵魂,109
2022-06-13 23:00:45,Laputa,5,当他在豪车上回答“是呀”时，一定知道自己放弃的是什么。,91
2015-04-28 09:16:22,Sophie  Z,4,18岁的张柏芝啊~~谁都想说我养你啊~~,357
2018-01-26 11:31:20,豆瓣酱,4,在最没有能力的时候遇到了最想照顾一生的人，对于那时的天仇来说，喊出“我养你吧”是需要多大的努力和决心的呀！,150
2018-02-24 21:43:03,顾盼,4,对于小人物的悲欢，星爷的电影总是表现的很深刻。张柏芝当时很好看。,73
