time,user,rating,comment,votes
2023-01-22 12:01:06,电子梦,5,不必对比什么 作为里程碑他已经无敌,43613
2023-01-22 13:57:05,DrunkenPeach,5,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,30993
2023-01-22 16:27:22,关山难越,5,刘德华那条线，给整个电影情节优化了不止一点儿，尤其是溺水后推开门的那一刻，我瞬间：“这是国产电影能有的剧情吗？”,28754
2023-01-22 16:31:45,了不起的花轮君,4,原来人死后还要继续干生前的活儿是真的。,30393
2023-01-28 18:54:30,逃亡,1,提前离场是对时间的尊重,982
2023-01-22 11:53:37,HarperDie,3,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,11810
2023-01-22 12:06:58,撕蓝,4,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,24418
2023-01-22 19:19:50,C,4,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,25596
2023-01-22 12:11:21,薛天华,5,《流浪地球》系列，单枪匹马，把中国的科幻电影提升到世界级水平。这不是老套的个人英雄主义冒险故事，而是一个宏大的全人类史诗！但是，173分钟的片长，三条缺乏交互的故事线，慢热的节奏，劝退路人的冗长数字生命线，确实是讨好了影迷与科幻迷，可无疑也是提高了对广大路人的门槛。2023年1月22日，刘培强先生，生日快乐！可能也就世界末日了，房价才会跌。最后，这不比《阿凡达2》的家庭伦理与美式霸凌好看?,24950
2023-01-22 16:30:59,水逆退散,5,笨笨！！你是军犬！！,17220
2023-01-23 04:24:52,滴滴答滴滴答,5,急死你急死你！我就要看“人类命运共同体”，我就要看世界人民大团结！我就喜欢看人“吴京PTSD”，我就是喜欢战狼！,14164
2023-01-22 23:31:24,春江烂尾鱼,5,很多人因为电影宣扬的集体主义价值观和共产主义理想而打一星，而我恰恰想因为这点给它满分。,12477
2023-01-22 11:54:38,牛奶很忙,3,第一部的全方位升级版，更宏大的特效奇观，更细致的科幻设定。上一部炸木星，这一部炸月亮，下一部不炸太阳真的很难收场了。,7372
2023-01-22 16:17:58,小斑,3,故事冗长且稀碎。想讲的太多，一样都没有完全说清楚。我全程给我妈讲解，坐我旁边的也在全程给他妈讲解。其实2044年那段没有塞在这部里的必要。关于生命和文明，现实和虚拟，只有标签和口号，没有智性的讨论。全程就是看一群固执的爹抗拒自然，不被任何人和事说服甚至动摇，强行按自己的意志支配地球和地球上的所有生命，并称之为「勇气」，前脚才感叹「人类把最强的密码用在了互相攻击的武器上」后腿就把人类分成「我们的」和「你们的」一面想当老大「我们比你们其他任何人都要正确伟大光荣，听我们的就对了」一面装和气「我们是为全人类考虑，是在（为我们伟大光荣正确的决策所造成的后果）承担责任，不是想搞强霸」，全片刻意制造的笑点，都没有这种又啥又啥的自我矛盾好笑。,3257
2023-01-23 16:06:46,michaelz,3,没有预期好，就是个纪录片，情节太平淡。最佩服李雪健，屁事都没做，什么情况都不知道，就他信心最足，信念坚定，要真都他来做决定，都得玩完。,2614
2023-01-22 12:15:54,绿毛水怪,4,低开高走，前半小时脚趾抓地，刘培强的爱情线真的很尬，那个女性胸部特写后韩朵朵生气，我非常非常厌恶郭帆这种没有任何笑点的恶趣味。图恒宇的线救回来了，华仔真的神。ps朱颜曼滋很适合这种角色，喜欢她的颜。,17673
2023-01-22 13:25:43,特凡人,4,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,12986
2023-01-22 12:13:50,🛸,5,看完了，大年初一就在电影院哭了，那种与天斗与人斗与命运斗只为了未知的未来和理想奋斗的中式硬核浪漫让人心潮澎湃。李雪健那个角色在大会的发言真的超牛，大刘笔下的科幻真是处处有着中国人特有的务实和真诚，好喜欢，这电影真的太特么牛批了！,10058
2023-01-24 19:03:12,玛丽莲萌鹿,5,我看有些人说又红又爹，感觉确实有点儿。但是点完头我又想，美国哪部电影不是又“蓝”又“宇宙第一”？,6001
2023-01-23 00:10:52,Zú,2,前半段算是花了不少篇幅塑造了一位英姿飒爽的精英女航天员，在接了捧花后迅速降格成为刘培强去展现英雄主义的背景板。你这哪儿是捧花，起码得是二向箔吧？,4485
2023-01-27 22:42:26,如魚,3,宏大又空洞，前卫又土气,1431
2023-01-24 10:45:22,迷迭香,3,纯直男视角，无趣级了。女性是妻子是母亲是女儿，但不是战友。女性发言人角色连群像塑造都不算，顶多是个符号，女性宇航员是背景，韩朵朵本以为有更大的功能，结果后面只是结婚生了个孩子。,2102
2023-01-23 09:13:12,一叶小江南,5,放几年前，我会跟着愤青一起骂，骂故事写的不好，骂节奏，但其实我的阅片量来讲根本不懂这些。无非就是跟风黑，显得自己多专业一样。现在呢？有一部电影3个小时让我不困，让我感慨，让我跟着它的思路去走，还能看到中国电影人走向世界的野心，就已经足够了。,6301
2023-01-22 23:33:33,朝阳区妻夫木聪,3,当年看完第一部还是蛮喜欢的，觉得它试图在人类的有限里去探索一种无限，尽管这有很大的自我感动的嫌疑。但是这一部看完，不适的观感进一步加重了，尽可能放大所谓人类的情感联结，但是全片看下来超级累，满脑子蹦出来的都是四个字：大而“无用”。大之一，在于肿大，叙事上感觉特别冗余累赘，三条线串联得很笨，松散且有点重复。大之二，在于自大，甚至于接近膨胀的各种主义情绪滋生，这点就不展开说了。大之三，在于夸大，夸大的美学和场景设定，左淹自由女神像右爆悉尼歌剧院，东方明珠只露了个塔尖，鸟巢已经沉入海底了，大裤衩却只淹到脚底，当然这也并不影响啥，但就是觉得，没啥必要。而且，对所有一见面就揶揄女性自以为好笑的直男台词感到反感。工业层面看自然是无懈可击的，第一步也已经迈出去了，但总归是觉得，好像有点使劲错了方向。,1115
2023-01-22 23:38:29,momo,4,我的建议是，把网络服务中心迁移到高原上来,10390
