time,user,rating,comment,votes
2019-08-08 18:00:05,郊外的耶稣,2,头发这么长，有没有一点军人的样子！,21546
2019-08-08 21:57:00,西楼尘,1,如果故事不是发生在陆家嘴而是在象牙山，江洋暗恋林澜就像王长贵喜欢谢大脚，这背景除了土一点并不违和。与其搞什么德尔塔母舰，还不如拍个未来版乡村爱情。能守护上海堡垒的，不是韩国做的泡防御，不是美国产的无人机，不是黄浦江里冒出来的上海大炮，而是中国电影人把真诚的心，放进钛合金的盒子里。,16941
2019-08-09 00:36:18,淋,1,科幻片来说，它基本上是把中国科幻能犯的错误都集齐了；要说爱情片，它倒是有连七夕档都不敢上的自知之明,16323
2019-08-09 00:02:08,九宸,1,毫无逻辑的剧情，生硬尴尬的表演，这是一部很标准的烂片,17658
2019-08-09 13:02:53,朝暮雪,1,中国首部三角恋科幻片，披着科幻外壳的言情剧，这是科幻片被黑得最惨的一次。打外星人只是表象，本质仍然是霸道女总裁爱上我。都世界末日了，男主角还可以休假，还忙着谈情说爱，上战场前最后一件事竟然是给司令官表白。这都什么年代了，他还发短信，而且短信还发送失败了。还有面馆、宿舍、汽车、电脑……通通是现代的科技水平。外星人入侵地球，上海竟然成了唯一的希望，完全不交代其它国家在干嘛。而灰鹰小队，则是上海的唯一希望。复仇者联盟打个灭霸还要几十个超级英雄，本片拯救全世界的重任就交给三个年轻人，你们比钢铁侠还厉害啊。江洋作为军人把头发留那么长，严重有辱中国军人的形象。你确定你是来打仗的？你是来选秀的吧。如果说《流浪地球》是为中国科幻打开了一扇门，那《上海堡垒》就是关上了这扇门，还用门狠狠地夹你的脑袋。,12766
2019-08-09 00:01:33,艮艮,1,披着言情皮的科幻片，剧情毫无章法，鹿晗演技好差。,13479
2019-08-08 21:07:44,后自愈,1,科幻片：请不要装熟谢谢。披着科幻片的皮拍爱情，纯属蹭热度。今年不是说科幻元年吗？怕不是要被《上海堡垒》搞成绝唱。,11676
2019-08-05 10:17:58,GA,2,韩国班底的特效缺陷很明显 本就是个情窦初开的故事 硬要配一个扁平毫无说服力的末世世界观 小分队还不如中国特供环太平洋,5337
2019-08-09 00:04:27,阿珂,2,《流浪地球》让我们看到了中国科幻片的希望，《上海堡垒》让我们看到了对圈钱的渴望,3812
2019-08-08 11:44:11,Reaper,1,《上海堡垒》06版作为我最喜欢的小说，影响了我十多年。我无数次想过如果这部小说拍成电影是什么样子，然而当看了本片之后，我宁愿这电影从立项时就胎死腹中。看了这样的垃圾，只想给流浪地球道歉。,11286
2019-08-09 09:08:39,王大虾,2,打仗那么久了，鹿晗的脸上还是那么白白的干净。化妆师扣三星。,1917
2019-08-06 18:06:27,書崎,2,这不就是真人版微信小游戏“打飞机”么？？？,2781
2019-08-09 00:10:07,灌水机,2,2.5 当个战争爱情片看就b事没有了。如果想看灾难科幻，我为啥不直接看独立日？要看你在这喊向我开炮？,1075
2019-08-09 13:15:18,咬一口好不好,1,流浪地球:翻开了中国科幻的新篇章上海堡垒:翻nm，把书给老子合上,9146
2019-08-09 00:16:37,你才是吹风机,1,建议改名叫  上海甜蜜之暴击外星人    这样比较符合这部烂片,6548
2019-08-09 00:10:11,一只猫,1,影院出来的过来人劝大家都别过来，看盗版都觉得浪费时间的片。看到这么多人骂我就放心了,7434
2019-08-04 23:06:57,华盛顿樱桃树,1,除了特效，一无所有。也可以说除了特效，其它还有啥？咣咣咣了两个小时，科幻片的精神内核可不是这样的。别跟我那条毫无感觉的感情线，无法令人信服。,6317
2019-08-09 10:52:25,傲娇的喵小姐,1,被一个朋友拉去看的，她请客。全程我都在玩手机，实在看不下去。剧本太烂，谁也救不了。影帝来也一样吧！,5452
2019-08-09 15:06:10,桃桃林林,1,如果说科幻只是背景，主打爱情的话，为什么爱情部分也都很突兀且硬来呢？另外，滕华涛导演感觉完全不会拍动作戏和战争戏，动作场面也太乱来了，也难得见到打得这么不紧张不激烈不好看乱糟糟的。以及，除了两位主角表演一般之外，所有配角的表现也都很差，所以，选择他们出演的目的又是什么呢？,2305
2019-08-09 20:17:50,亵渎电影,1,这些电视剧老导演不仅对科幻电影有误解，对类型片有误解，对电影是什么也有深深的误解，奉劝这些电视剧导演还是安心拍电视剧吧。《上海堡垒》是一部标准的烂片，电视剧思维的产物，所有叙事逻辑和戏剧冲突都是想当然，一分钟不用廉价的抒情配乐就会死，反派无逻辑，特效无细节，叙事无节奏，也没有科幻世界观的构建，还处于编剧瞎JB写，导演行活瞎JB拍的阶段。《流浪地球》的成功仅属于郭帆导演和他的团队，暂时还是小概率事件，对中国电影工业和中国科幻电影的影响目前真没看出来，如果大家是对中国科幻电影有什么期待的话，还是散了吧。0分,815
2019-08-16 18:26:30,张小北,2,这个电影很糟糕，也引发了群嘲。但对于严肃的科幻电影爱好者来说，我们应该从中去学习而不仅仅只是嘲笑。巨大的失败背后也隐藏着不可忽视的经验，而且这些经验更加重要，因为巨大的成功可能会掩盖错误。巨大的失败之后，我们更需要冷静客观理性地总结经验。中国科幻电影不是一部电影能开启的，也不是一部电影能毁灭的。,138
2019-08-09 11:08:18,曾于里,1,鹿晗的时代彻底终结，希望以后彻底不要在大银幕上看到他,3221
2019-08-09 09:14:06,hdoom,1,这是我唯一一部希望外星人👽赢的电影,2998
2019-08-04 16:13:00,小心和小欣,1,舒淇有多好看，上海堡垒就有多烂。,3024
2019-08-05 05:26:12,劈叉浣熊,1,这颗星给特效公司，辛苦了。一部完完全全的骗钱作品，剧本写得是堆屎，导演技巧是堆屎，概念设计是堆屎。这一大堆屎还憋了六年，如果不是为了搏同情，我只能说这水平趁早别碰科幻片好吧？江南这个水平赶紧告别文字工作吧，会写小说不代表会写剧本，一个戏剧动作都没有，全靠旁白对话带信息你敢信？滕华涛也请拍自己擅长的都市情感电视剧吧，《蜗居》《裸婚》拍挺好的您何必？还“第一部”“科幻爱情战争片”，我可去您祖母的吧，类型不是您这么玩儿的，类型融合没您这么屎拌屎的，求求大家严肃点儿对待电影，好么？,2704
2019-08-08 11:06:26,韦斯安徒生,1,这哪是末日之战，分明是玩具打架，科幻感不是塑料感和特摄感啊！文戏基本全废，台词小学生审美。动作戏对剧情推进毫无帮助，设计感为零，除了爆炸就是人海战术，没有紧张感可言。某鲜肉演军人都放不下沉重的偶像包袱，任什么情形造型都绝不会乱，以帅为本。另外，都什么年头了，后期配音还能句句对不上嘴型，草台班子水准。,1435
2019-08-09 12:24:55,凉非,1,真的是...一颗星都不想给如果你支持中国电影 支持中国科幻 哪怕是让这个世界变得更好一点的吧 答应我 不买票 不讨论 不参与任何话题 一分热度都不要给他 自生自灭去吧,2089
2019-08-09 15:07:37,王大根,1,确实是你能想象到的最烂的科幻战争片了，未来城市就是实拍了一堆上海高楼（并且拍得灰头土脸非常丑），再往上面P点三维影像、荧光屏幕，看起来特别廉价。外星人基本就是机器人，没有任何外星感；全球防御指挥部总共不到十个人，总之就是“外星人侵略地球，上海是地球最后的堡垒”这个最最最基础的设定都没能建立起来。主角从头到尾零性格零成长，根本没有任何存在的必要，最要命的是片尾曲还给我翻唱周杰伦的《世界末日》……在世界末日和这部电影之间我选世界末日啦！,1101
2019-08-09 12:15:05,思路乐,1,【D】说一个很有意思的点吧:鹿晗是主角没错，可很奇怪的是，每次只要有他的戏份，镜头大多都是远景或中景，很少去把镜头拉近对准演员的脸。我想，这是不是也代表着主创自己心里也有数呢？当然，就算是近景特写，演员当时所传达的感情大多也是正常的“平（si）静（ma）脸”，唯二两次大幅度的情感波动，只能说是惨不忍睹。为了凸显出主角的情感表达，本片大部分用的竟然还是鹿晗的旁白。你们可以去想象一下那种临场感受，简直绝了....,826
2019-08-09 08:22:20,月色归来时,2,56/100 口碑扑街一直是意料中的事，看了预告片更确信了，但还是忍不住去看了首映，就这水平宣发还一直拿来跟《流浪地球》比，我看五分之一都不及……,736
2019-08-09 10:52:21,看过,1,震惊！一90后男子狂追70后女生，为此入伍却一无所获,863
2019-08-10 01:19:03,Good JOB,1,希望观众明白，抵制烂片也是对国产电影的支持,522
2019-08-09 08:52:01,黄悦_,2,其实特效还不错啦,148
2019-08-09 00:11:23,fly,2,之前Social需要先看了。如果出现拿独立日吹这个片子的真是伪科幻迷的典型，独立日是什么年代的片子了？20多年过去了啊。就因为这片子有抄独立日的镜头，学了打打打的老套路，就被利用着拿来吹已经2019年的中国科幻特效？给我们一些真正的新东西可以吗…当然肯定有人说两框这本来就是伪科幻结局愚蠢的言情小说。那电影言情方面的处理更有得吐槽了。情节和选人在我这里都是失败的，入不了戏，无聊。演员没演技的居然依赖旁白表意和时而对不上口型的配音。总之，科幻和言情哪方面都不满意，不考虑social效应的话无疑浪费了我时间。 为了一部无聊的影片不惜污染我的观影list写个点评算是偶发善心为了提醒和我一样对电影有一定要求的人。 唉，其实也很想和其他人一样不多说直接一星总结算了，毕竟这片子吐槽都不值得费笔墨。,232
2019-08-08 14:05:08,老同志🚲远去,1,爱情台风，管他北南西东----顺义二院,2244
