time,user,rating,comment,votes
2022-08-05 19:57:45,朝暮雪,2,看电影时：港片有出息了，都开始打外星人（植物）了。看完后：港片连打外星人拍到最后都能变成抓内鬼。,6237
2022-08-05 12:17:04,天马星,3,两句话概括本片：-「有内鬼终止交易」-「收手吧！阿祖」,3025
2022-08-05 12:16:22,盛妍,5,质感远远超预期，故事简洁很懂得扬长避短，是一个优秀的爆米花！！,1515
2022-08-05 12:18:07,张小段,4,不提及“第一部华语机甲爽片”，疯狂扣剧情。不提及“电影6000w美元投资在好莱坞只是中等投资”，而直接对标好莱坞上亿投资的电影。不提及“学习人家好莱坞优秀的地方”，学习了就说人家是所谓的“缝合怪”。现在的豆瓣部分用户有些时候对国产片的要求之高，高到令人咂舌。拿着半桶水知识晃头晃脑的指点江山，真的是令人啼笑皆非。,4498
2022-08-05 11:58:40,Bryan·Mai,1,《异形2》+《明日之战》+《使命召唤11/12/13》+《泰坦陨落》+《假面骑士：甲斗》+《生化危机：终章》。缝合到美术、剧情、设定几乎没有一点原创，特效一眼动画感。节奏非常诡异，没有一场能真正调动激素的高潮戏，剧情赶工到天大的危机没有丝毫紧迫感，解决的又如此敷衍粗暴（指外星人一瓶药秒杀）。动作片不能带脑，但不能让人胃疼啊！怪兽片加人类反派？而且这个反派连动机都不说就无了。最可笑的是主角发现反派之后，居然大义凛然语音通话劝降而不是告诉全基地的队友，结果被反派切通讯追杀了一路。这种奇葩剧情你放动画片里面小朋友都看不下去好吧！就像一台印度万国造坦克，不中看也不中用。放《流浪地球》之前上映我还能厚着脸皮夸一下，可是现在中国科幻已经表明可以做到好剧本+好特效，这种工业残次品更显过时。,1217
2022-08-05 21:53:30,王大根,3,还是警匪片逻辑，其实去除所有科幻元素故事也能成立——不就是把黑帮打手换成外星螳螂吗。我觉得最难以接受的还是：香港已经缺青年演员缺到连万国鹏都能上了吗！,2336
2022-08-05 14:56:33,复制灵魂,1,承认不好看很难吗？,1295
2022-08-05 12:00:56,知更鸟,4,抛去滤镜，电影也就值3星，剧情过于简单了，看了开头就能大差不差的猜出结尾，特效绝对在及格线以上，看得出是十分用心了，优点是导演敢碰机甲类的科幻题材，这倒是非常值得表扬，但凡此类电影在多一点，中国的科幻电影就能更向前一大步！另外买票支持要比瞎喊口号要强多了，真心古天乐多年来的辛苦付出可以得到回报🙏🙏🙏,1944
2022-08-05 11:51:36,凯文·史派东,3,文戏删到只剩框架是对的，否则两头不讨好拖节奏苦心做的特效就白搭了，目前院线版精简成无脑爽片太明智了，科幻最难的不是特效是文本，一步一步来。,2122
2022-08-05 19:45:22,连城易脆,3,据说是古天乐因为当年特别喜欢阿凡达和钢铁侠所以创建了一家特效公司，这家公司还给流浪地球、红海行动做过特效，现在这部电影算是经历这么多年的磨练成长以后交的一份作业吧。所以本身还是很敬佩古天乐的情怀，也很羡慕可以用这样的方式去追求自己的爱好。可惜这部电影如果特效可以打80分的话，剧情就是-80分！！为什么不好好打磨剧本呢？剧情羸弱到都懒得去吐槽了。还有张家辉全程臭脸的表演简直让人发笑，“天幕就是我我就是天幕”的执念让人难以理解。以及香港电影常见的毛病就是这么大的科幻末日片，几乎没什么演员，就那么几个人的戏份，太单薄了，死几个人，就几乎没了。最让我费解的是为啥要用万国鹏？他用他的实力告诉我们他真的只适合演路人甲！！！特效本身确实还可以，细节到位，桥梁追车戏挺精彩的。最后，片尾曲为什么会是《逆战》？,1832
2022-08-06 19:15:02,朱叉叉,3,那个长得像个饼的丑死了的短脸扯后腿通讯兵是哪个资方塞进去的啊……还不如西门小恨恨呢……亚心……谁想看在末日片里看丑x谈恋爱啊,1820
2022-08-04 22:02:51,有心打扰,2,如果不是看着它在特效制作的诚意上，真的很难给2星。剧本烂到千夫所指，每一场戏都毫无新意，极其套路化，生硬的爱情戏，更加生硬的小女孩，过时严重，哪怕是AI从网上摘抄拼凑写出来的故事都能比本作精彩。,1038
2022-08-04 18:43:57,顗礼,3,大人物说“我就是天幕，即使牺牲16万人也在所不惜。” 小人物说“结局是什么，我们自己决定。” 你猜这些对白是在讲什么呢？//片尾曲用《逆战》用的挺准，跟正片几乎一个气质，纯中带土，土中带中二，中二里又带了点真诚，抛开所有对好莱坞盲目信任后的“借鉴”，其实是给到了很纯粹的类型满足，金像视效奖大概稳了吧（但剪辑和摄影选择完全是胡来，大部分动作戏都看得头昏脑胀）,415
