time,user,rating,comment,votes
2016-12-30 09:05:00,娜莉梦游仙境,4,星爷的喜剧虽然无厘头但是还是值得深思的，记忆最深的一段就是和妓院的人斗嘴，以一敌十，最后去海边的场景,812
2008-04-16 12:00:30,战国客,4,正宗的周氏无厘头电影~~,728
2009-10-04 00:05:09,点点,3,今天有看《九品芝麻官》发现剧本有2个问题，先前说张敏有两个月生孕，而发生在命案第二天，明显就不可能是常威的儿子，但最后用滴血认亲来咋他，他怎么会相信去愿意验呢？还有个细节问题，之前审的时候说是买了半斤砒霜，后来审的时候说一斤，用只斤了半斤怎么卖一斤来辩，但其实之前就是说半斤的。几年前写的总有人来找我解释，搞得好像自己多聪明。我再说清楚一点，我的意思是，常威不需要被诈了去验，因为张敏两个月身孕在宴会上大家都知道，他可以拿这条来拒绝验。,916
2011-05-13 20:27:40,阿布丁,5,原来很多年前，就有人跟我们说了一个上访成功的故事,3649
2017-03-01 20:01:13,甜椒Oli,5,贪官要奸，清官更要奸，这样才能治得了贪官。,3356
2018-02-03 11:45:41,李弘声,4,包龙星是经过一番曲折的游历才历练成包青天的，若非被逼入绝境，他本无如此触底反弹的境遇与决心。他与下九流厮混，学会了口中吞剑，和嫖客吵架的功夫，又撞上了天大的好运，在妓院碰到了当今天子。正义不是那么容易声张的，即便他是主角，最后扳倒贪官，也押上了他的全部生平所学、运气与勇气。,331
2010-06-13 14:29:40,米姐起飞,5,"非常欢乐,自认比唐伯虎点秋香好看!!",925
2017-10-03 17:18:08,小蝶,5,周星驰说他拍的都是悲剧我们却当成喜剧看，以前不懂也懒得想，年纪大了反而慢慢的悟出了。九品芝麻官应该是非常典型了，包龙星最后能赢并不是什么正义战胜了邪恶，是更大的后台（皇帝）出现了，仅此而已，邪恶战胜了邪恶，想想还是蛮讽刺的。,575
2017-01-10 18:55:45,待城,4,星爷的电影总是那么无厘头的搞笑，现在看还是很喜欢,421
2018-06-06 06:55:37,世界尽头,4,看一次笑一次，很经典了。周氏喜剧中最喜欢的一部，情节曲折，笑点满满。还有这里不管是张敏还是蔡少芬都好美，好有味道。,304
2017-04-13 10:01:15,X,5,我心目中的周星驰系列电影no1，有特别强的现实意义，影射现实,662
2015-05-22 22:19:10,皮皮的皮神,5,要不怎么说星爷的电影百看不厌呢。此片可以说是全程高能，金句频出，从头笑到尾根本停不下来，最难得的是笑中带泪，情感真挚。仔细看能发现连路人都全身是戏。,429
2015-12-24 20:57:09,梦里诗书,5,无厘头下的幽默，《九品芝麻官》即有着对官僚主义辛辣的讥嘲，同也包涵以小人物的励志情怀，电影做到了真正将笑料契合剧情的呼之欲出，更在节奏把控上有着决然不凡的力道，一场本自悬疑冤假错案的拨乱反正，却能时刻为人忍俊不禁，令人永远记住了那个满是荒诞却又刚正不阿的九品芝麻官包龙星。,309
2010-06-30 23:05:28,Daneestone,5,"开心就好,有时心里不痛快,电影就是干这个用的",334
2018-03-28 06:47:12,婷婷爱八卦,4,对吴启华演的坏人印象深刻……,376
2018-04-18 06:42:19,godzilla,5,被诬陷的张敏，插科打诨的吴孟达，妓院老鸨的蔡少芬等等，每一个角色都令人印象深刻。,150
2016-08-08 15:41:16,吴邪无忧,5,这部电影特别搞笑，星仔年轻时好帅😘,130
2017-01-10 13:35:52,竹叶卷心,4,张敏真是美啊，和以前她别的作品表现出来的英气不一样，这个角色被欺负的时候简直是惹人怜惜啊，钟丽缇也好美好灵啊角色特别适合她，那种有点野性的天然美，蔡少芬也让我耳目一新，和她别的作品差别挺大的，周星驰不必多说，最经典就是那段展现他三寸不烂之舌的了。,164
2018-03-20 14:36:05,、佚,5,对星爷主演的无厘头喜剧简直没有抵抗力，好几部经典都超级喜欢。,49
2018-06-06 08:16:53,做一件事很难吗,4,周星驰的经典代表作 看似喜剧的效果 实则讽刺的意味 值得我们细细体会,186
2018-06-05 09:42:02,潇湘烟雨,5,最喜欢的一部周星驰电影，看多少遍都很有意思，经典,43
2015-01-12 22:32:36,呼延凯旋,5,看过无数遍的经典之作，以前就是为了看热闹，为了看周星驰怎么在嬉笑怒骂中跟贪官争斗，替戚秦氏伸冤，但长大后就渐渐的明白了一些事。贪官奸，清官更应该奸，要不然怎么跟贪官斗呢？这句话道出了这部电影的精髓，就算是现在，也是一部警示之作，这是一个值得深思的故事。,37
2022-02-24 20:34:52,鱼鱼爱吃饭,5,20220222重看电影太绝了，虽说是早期电影，但是放到现在来看，一样顶呱呱。把黑的说成白的，白的说成黑的都不在话下。上一辈给的两条路，一本秘籍被烧，一个n年前用生命换来的人情，完全不顶用。最后还是凭着自己的能力，以及运气翻案。世间的故事大多如此。,23
2018-06-06 07:42:31,尽人事，听天命,5,真的觉得星爷的戏都很值得看啊。真的就是天才演员类型,29
2018-05-22 21:03:05,遇见彩虹🌈,5,咸鱼宝剑，把铁棍说直，跟石榴姐对骂，都是经典啊，哈哈哈,64
2021-01-28 22:23:37,郡落赫澜,2,套路像《武状元苏乞儿》，观看疲劳。有些情节恶俗。,3
2016-10-11 15:33:18,朝暮雪,4,“如果你把剑吞下去我就不介意。”,74
2011-05-11 20:53:54,伊卡洛斯,5,贪官奸，清官要更奸，要不是怎么敌得过贪官？,24
2017-01-10 12:38:53,我不是服务器,4,电影不错，尤其是骂人那段，我曾经也跟着学过那种，不过没成功了(ꈍᴗꈍ),58
2009-02-14 20:15:43,原来是西门大嫂,5,——阴阳人烂屁股——你骂谁？——谁搭腔我骂谁——我骂你全家！,21
2018-06-28 22:37:37,多读书少熬夜,5,《九品芝麻官》是我最喜欢的三部星爷作品之一，在我心里仅次于大话西游和喜剧之王。星爷再一次把无厘头发挥到了极致，但三观极正，捧腹之余又深以为然。这部在我出生之前就已经上映的电影，里面许多反讽贪官的经典台词，至今也丝毫不褪色，“贪官奸，清官更要奸，不然怎么对付那些坏人”，真的一语中的,11
2018-06-06 10:48:13,grace-xhu,4,星爷的电影总是让人捧腹大笑，但是也有让人潸然泪下的地方，能把喜剧和悲剧融合在一部电影中而且处理的恰到好处的很厉害了。,32
2016-12-25 11:11:11,冰封之心,5,超级经典。最喜欢周星驰、吴孟达还有张敏的搭配。这部戏里面吴启华也很出彩，贱兮兮的，演得很传神。,14
2018-06-06 22:25:53,偏要勉强,4,周星驰的电影重看依然经典，张敏好美。,29
2017-06-06 23:55:16,美神经,4,嗯，又是一部周星驰的经典，不知道看过多少遍了～那个去妓院找如烟的时候，厉害了，如烟肯定很累一直在叫～心里肯定很不爽，怎么今天那么多死男人。哈哈哈～不负众望，后来终于从芝麻小官成了大官～一滩血溅上了公正廉明这四个字上。,22
2018-04-18 06:44:53,媛媛,4,很不错的无厘头电影，节奏紧凑！！,18
2018-03-18 20:16:11,nnna、,5,觉得星爷的喜剧有内涵多了。,16
2008-08-21 15:29:19,U 兔,5,后补：电视上逢放必看，虽然次数没唐伯虎多但也是个人重看中前几的了。相比之下才感觉这些故事编得这么棒，合情合理自洽很好，结尾虽然简单了点儿但也是高潮迭起各种元素做足，节奏也不错，涉及人物多且各有性格。,6
2017-01-25 21:57:38,浅笑ソ安然,5,不愧是喜剧片，搞笑程度不一般。,12
2017-03-21 09:14:15,多看电影爱电影,4,张敏在里面的戏份太少了。,21
2017-03-16 19:31:35,小葱,5,用垫鞋垫的方式表达出来的心酸感，又搞笑又给力又令人难忘。我觉得星爷在电影里表达情感的方式，一直是天才是奇才。电影届里万里挑不出的一。,10
2016-01-03 21:53:00,七色光,5,星爷和达叔凑在一起就是很乐。这个片子剧情也很不错，破案类的也有悬疑。吴启华这会还在演奸角。,6
2008-08-31 19:52:25,Comel,4,小时候看到笑，长大后才发现电影中的人生是残酷的，但现实中却没有电影的圆满结局,13
2023-01-20 21:57:55,还是要健康生活,5,有些片段小时候看的还记忆犹新，完整重看不得不叹服星爷的表演才华，以前的港片怎么都能做到篇幅不长群星荟萃故事容量十足的？充分刻画官场黑暗，却又让人看得很开心，厉害,5
2007-11-17 05:17:19,杜边生,0,宝剑穿肠过，忠良心中留,406
2018-06-07 01:55:46,星懿,5,1.小时候认真地想要练好骂人拯救世界；2.电影是喜剧是因为有着后半段，人生是悲剧是因为只有前半段。,16
2018-06-06 23:21:07,幸存者,4,看一次笑一次，让人无法控制自己不笑。,14
2019-12-01 22:25:51,流光溢彩`,4,这部片子最厉害的地方是文本构造，这种从开场二十分钟到最后二十分钟中间的一整段几乎全是至暗时刻的本子是最能刻画人物形象、塑造主角成长的，而且本片在这么久的主角低谷时间里还能填充那么多幽默风趣的桥段，周星驰真是把笑点自然融入电影剧情的第一人，还用了几个比较厉害的蒙太奇做笑点，再说回剧本，这么长的至暗时刻可谓是把底层人物的艰辛无奈书写的淋漓尽致，尤其是戚秦氏被用刑那场戏实在是惨，也正是这样才让高潮的翻案来的如此有力。,6
2017-02-21 10:38:43,美女菜kun,4,看了很多次，台词都能背下来了，哈哈哈,25
2013-06-04 14:57:26,影毒肥佬,4,"舊片經典在於當年一些名不見經傳但型格突出的人現已成巨星, 象此片和星星大吵三百回合最後不敵的烈火奶奶--魯芬大姐,  她已成宅男女神, 力壓劉心悠姐姐, 而其他象小反派吳啟華, 在戴上眼鏡披上白袍也搖神一變成妙手仁心,  師奶殺手, 影片本身則和審死官太象, 一比之下, 同門(杜SIR晶哥)誰高誰低一目了",2
2018-06-05 12:07:46,智,5,经典老片。,10
2022-06-17 00:01:35,☄,5,包龙星可以成功翻案并不是因为他代表着正义，也不是因为他有多厉害，只是因为更大的官（皇上）站在他这边。张敏在这部戏里的扮相真的是我见犹怜qwq,12
2017-03-16 12:35:12,蓝色啄木鸟,4,当年很喜欢的一部无厘头搞笑喜剧，老板娘和星爷比拼那点笑喷(^V^),10
2014-04-14 17:40:31,火娃,4,8/10。卡司云集，无厘头夸张得肆无忌惮，笑点设置和情节编排却融会贯通，练舌功和重审戏绝对都是可以载入史册的爆笑！但是我要说一点：凶杀、强奸、苦情、恶搞，只要是能吸引观众的元素无论多么低俗都可以被王晶拿来炒作，这也让影片品位大打折扣。,6
2022-06-17 18:15:58,谋杀游戏机,4,转自豆友李弘声：包龙星是经过一番曲折的游历才历练成包青天的，若非被逼入绝境，他本无如此触底反弹的境遇与决心。他与下九流厮混，学会了口中吞剑，和嫖客吵架的功夫，又撞上了天大的好运，在妓院碰到了当今天子。正义不是那么容易声张的，即便他是主角，最后扳倒贪官，也押上了他的全部生平所学、运气与勇气。,6
2011-08-08 20:42:22,张劳动,4,最喜欢包龙星他爸说的话，贪官要奸，清官更要奸，清官不奸怎么斗得过贪官,9
2014-08-26 20:23:20,雨宫萤,4,日语吹替版笑死了，平田広明很少这么快讲话，超语速吵架好好笑,6
2017-01-26 14:19:38,豆瓣酱,4,很经典的一部喜剧片，轻松搞笑幽默，很喜欢。,10
2017-03-26 09:49:24,舜舜,4,特别搞笑好看的电影，周星驰的嘴皮子真的是好厉害，这部电影最后又审案，为人洗脱冤情，体现了一个爱民的好官！,8
2017-03-25 18:07:16,炫3D,4,百看不厌！,13
2017-06-07 15:53:54,榴莲妹,4,星爷无厘头搞笑经典作品之一。那时期跟吴孟达合作拍的好几部片子还都不错,7
2018-06-17 08:29:34,欣欣向荣,5,嘴皮子功夫还是要练习的,10
2017-05-15 19:58:37,张苑希,4,港式喜剧经典，被各家电视台连续轮播N+1遍。张敏、蔡少芬、钟丽缇，以前和周星驰搭档的女演员真是万种风情，气质千面。现在.....,4
2013-02-03 23:28:38,曾于里,3,官场文化的反讽，贪官奸，清官更奸，不然如何对付贪官,61
2018-04-21 12:02:52,墨明棋妙,4,吴孟达和周星驰黄金搭档,11
2017-06-07 18:05:35,LEMON,4,百般笑料下，却又刚正不阿的九品芝麻官，每一个角色的性格特点鲜明突出，都会让人留下深刻的印象,4
2020-10-24 13:26:20,赱馬觀♣,4,补标。所谓“无声胜有声”通常是指，剧中角色根据剧情要求保持沉默，方可达到情绪表达的最大化。可还有一种情景是属于：角色非但不能保持沉默，说起话来还必须黄河之水滔滔不绝的那种，可观众偏偏不需要听到一字一句，全从嘴型表情的画面去领会剧意，倘若同步听到台词具体含义反而会使被分心。此谓：无声胜有声。比如，包龙星练骂升级头顶双根无线猫；刘别谦红楼艳史闺蜜间私语聊八卦。……PS周星驰电影的库布里克时刻：https://www.douban.com/people/hitchitsch/status/3704698473/,3
2020-08-08 13:42:29,刷鞋大王,4,和其他作品一样先虐后爽的路数，小人物先被打入低谷，再靠天上掉馅饼加几句插科打诨就变成大佬。只是这部题材尖锐、笑料扎实、场面经典、金句频现，虽然没有评论吹的那么深刻，但在搞笑上做足了功夫也是挺好看的,1
2010-01-02 20:21:33,大-燕-威-王,5,每年都能看到电视台放这个片子，许多桥段现在都记忆犹新。,6
2017-09-26 02:44:55,物芳,5,提出这样要求的人，我这辈子都没有见过,10
2018-03-31 17:31:58,真纯,4,看完以观后效觉的，人间自有青天，不是不报，时候未到。,10
2018-06-04 18:18:57,优优,4,星爷的电影百看不厌真的现在真的真没有什么喜剧电影能像星爷这样,5
2023-01-27 20:13:58,Η²,5,高一民中住校的年代，周六补半天课，到了周六上午上完课，大家就可以把教室前面锁住的电视机打开，周六的中午一般CCTV6都会播一部大片，是周五晚上的重播，常会放周星驰的电影，特别是这部经典《九品芝麻官》，也是C6片源的匮乏和国产电影业的简陋低产和刚起步，完全没有市场概念，C6是一个见证了国产电影从不被人看好，到现在市场成熟和大片迭起的时代，有句话说的很好，与其向往外面的月亮，不如把自己家建设的和国外一样好，而中国电影正在做到（如今的流浪地球2）。记得初中很清贫的时代，还会在历史书上在对近现代描述的最后篇章，自己写下对未来的畅想，想着未来要多少年实现经济发展，写下中国动画、音乐、电影超越国外的年代年限，10年后20年后，果然真的都实现了，而那本初中课本，却被我弄丢了，而我对自己未来的那些期望呢，是否也找不回来了,0
2009-02-03 09:22:07,瓦达西瓦又又又桑只爱这巧克力,4,这个片子我印象最深的居然是两个人房顶上看变成桃心状的月亮。。。,6
2009-07-01 20:24:46,[己注销],4,星同志的作品中，我最喜欢的其中一部。可惜本片的很多剧情像是拼凑的，有头无尾……但没关系，经典就是经典！,2
2017-11-17 16:43:03,刘口水,5,导演成功地用笑料掩盖了冤案的悲伤,14
2006-04-03 00:48:16,传说,4,"又名: 九品芝麻官 / Jiu pin zhi ma guan bai mian bao qing tian导演: 王晶 (Jing Wong)主演: 周星驰 / 吴孟达 / 吴启华 / 张敏 / 苑琼丹 / 蔡少芬 / 钟丽缇上映年度: 1994制片国家/地区: 香港语言: 粤语imdb链接: tt0110201",0
2018-06-04 19:37:21,白露悠悠,4,看了很多遍，看一次笑一次。剧情不错，星爷演的还是不错的。,6
2013-09-07 15:08:51,喻鸣,4,古装版李天一强奸案。,6
2016-12-21 20:56:49,白眉道长,5,既比《审死官》深刻，也比《审死官》娱乐,10
2015-01-22 15:46:40,雪·法妮奥,4,贪官要奸，清官要更奸23333,3
2018-06-06 22:53:42,穿过肉身的痛,4,周星星的喜剧到目前依旧无人超越，一代喜剧之王！,22
2016-10-01 10:48:11,安静地积分,5,重温经典，各种段子都找到来源了，空虚寂寞冷，我跳过来跳过去，你来打我啊，又有针砭时弊的酣畅淋漓，在嬉笑怒骂中直抒胸臆，不愧是星爷的经典佳作。,7
2019-02-17 23:41:31,风信子,4,夸张生动，混乱得让人开心，简单粗暴的搞笑方式让人可以一下子笑得很久。浓浓的港味电影啊，国语配音也是极其舒适的。电影本身包含了一定的社会现实意义，讲的古代，现代比比皆是「官官相护」。剧情略有bug，包龙星的转变还是太急切了。不过真的好喜欢这种调调，群演的各种反应真的好亲切，还有吴孟达，每次都是画龙点睛之笔。周星驰的练骂真的让人印象深刻，呈现方式也十分可爱了。「关门，放狗」,1
2021-02-28 11:52:24,咸蛋虾米粥,4,厉害，“包青天的后人变成了贪官，因为一桩冤案，重新做回了清官。”人物弧光完整。用大众耳熟能详的故事再创作（这部是包青天，大话西游是西游记，都是这种策略，不过王晶和周星驰想表达的东西是完全不同的），用低俗屎尿屁消解伟光正拉下来接地气。但实际上又讽刺道貌岸然的黑暗官场，骨子里非常严肃。最讽刺的就是用半块饼找旧时相识，最后还你一堆饼让你当场吃完，讽刺之余，吴孟达一句“我还有点饿”，再消解这种讽刺，实在是厉害。老爹死前嘱咐：“贪官要奸，这清官要更奸，不然怎么对付得了”，小时候听不懂，现在听来，太真实了。只有周星驰和吴孟达能演出这种贪财好色又不失正义之心的小人物，演员表演与导演互相成就，缅怀达叔。王晶也非常厉害，商业片里带私货。很有启发，香港导演兼顾市场和个人表达，是非常值得学习的。,2
2023-01-31 19:27:22,车纯的高效人生,5,经典就是30年后再看，仍然令人大笑，引人深思。90年代的港星，无论演技还是外表都是风华绝代，真是美好的旧日时光。,4
2020-08-07 21:03:50,川🎥🎞,5,原来这么多梗都是这里的……周星驰的片里难得笑一回（周星驰其他片要么悲剧色彩大过喜剧，要么被多次演绎，老梗了），慷慨五星一下吧。,2
2011-12-24 21:43:52,Lynn,3,張敏好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗好美麗,8
2010-10-06 23:15:47,游牧人·芳汀,4,那时候的王晶怎么就这么灵？,4
2011-11-10 17:26:46,巴喆,4,贪官奸，清官更要奸。妙就妙在那些官场的解构，嘿嘿~~~~7.6,2
2014-10-27 18:53:49,萨罗迈拉,3,“他们说你勾结江洋大盗买官卖官杀人抢劫起伏老婆婆还强奸一头母猪！”“我绝对没有强奸母猪！”,9
2011-04-07 18:00:22,xiangkaiad,5,内心给100分，星爷的片子无论是现在还是以前，我不想横向直接比较，我只知道我看了很开心，我要娱乐他给我了！轻轻松松不费脑细胞！下班班车上都能你看！不过时 ！绝对支持！,3
