time,user,rating,comment,votes
2021-09-01 10:24:50,张劳动,2,看的时候一直在想说，加油啊，中国科幻电影，不要拉垮啊，不要拉垮。看完以后，六分钟以后，基本是室内情景剧了。《流浪地球》都讲父子情了，不说超越，连那种情绪都没到位。批评是为了盼着好，真心的。,29
2021-08-27 19:00:47,追,3,找爸爸找火星上去了，这么缺父爱吗？故事格局小了，浪费好题材。,32
2021-08-27 23:22:00,叶飞Phoenix,1,整个片子毫无使命感、信念感，所有情绪全靠用嘴说。一言不合就说教式煽情，变异生物等煽情完了再发动攻击，火箭等煽情完了还来得及发射🤷‍♂️……,49
2021-08-29 03:40:56,DioretsaZ,2,实话讲开篇尚可，只可惜好景不长一转控制中心就像电视换了台，资金又都花特效上了？,26
2021-08-29 08:48:30,gtxyxyz,3,真就开局一条鲲,18
2021-08-28 12:31:56,обломов,2,就是说英文比较搞笑，但是能拍成这样，还是女导演作品，算不简单了,27
2021-08-31 13:56:33,摩诃曼珠沙华,2,特效不错，可是人家特效为剧情服务，本片是为言情服务。,7
2021-08-31 00:03:05,小米=qdmimi,1,开局一虚鲲，过后橡皮抡，这种玩意儿还鼓励继续拍下去？,17
2021-08-30 11:32:16,多多洛,2,开始还好，切换回指挥中心就low了。此外虽然主题很正义，但煽情太刻意，越看越没劲。感觉看了个寂寞。,3
2021-08-28 22:54:17,fallingraining,3,还成吧，科幻片该有的都有了，剧情弱智这种吗只能靠时间的积累来改变。,10
2021-08-29 13:32:51,左眼看电影,2,幼稚的可笑,4
2021-08-31 14:00:27,厨师,2,特效比剧情好看系列,3
2021-09-09 17:39:30,两仪·式,2,剧情能看了。就是细节方面实在非常简陋。不过值得表扬。,1
2021-08-29 13:40:35,梁燃,1,跟现在的娱乐圈一模一样，光鲜亮丽的外表，骨子里都是屎一坨。美术、灯光、特效，都上去了，剧本、导演、演员，全都是屎。一坨屎用精美的包装盒装起来，就出来卖钱了。,56
2021-09-01 10:40:36,国王KING,3,还可以，没想到怪物在第一幕就出现了。然而结尾就比较平庸就是了。,1
2021-08-30 02:39:21,丑老鸭,3,网大做成这样  不容易,5
2021-08-31 11:45:38,柏拉不图,2,数码特效时代的B级片。,1
2022-02-27 18:31:03,发呆中,2,特效可以，演技差评,0
2021-08-31 13:29:10,电影上言君,2,中国的科幻电影，怎么也得支持一下。前面特效做的真的好，后面情感上更多的描述。勉强及格吧。,2
2021-09-07 23:11:00,Thy_NecroNymph,2,中国太需要不浮夸板子脸的新生代演员了,0
2021-08-29 22:14:56,五星上酱,1,我想告诉导演，能不能加一场，让一个莫名其妙的观众突然在他们无聊煽情的时候出现，手拿一把冒蓝火的加特林把主角配角全部突突突了，搞不好还能票房大红，口碑大好,34
2021-10-22 17:16:15,EvilGoblin,2,“我会做简易的炸药，威力足可以把基地掀个底朝天。”,5
2021-09-05 17:14:26,皓月惊鸿,2,不成功的探索，友情赞助一星。,1
2021-09-02 12:32:45,kakakarl,1,火星的地球感还是有点重，特效也一般，航天器内部一点未来感都没有。鲲只是一个假把式，最后居然不了了之了……,3
