time,user,rating,comment,votes
2006-10-07 10:48:43,Lan~die,5,对我们这代人影响最大的电影。寓言故事已然存在，不可避免。世界是巨大的枷锁，你不得不重复自己或是别人的生活。台词：你看那个人的背影好奇怪，他好像条狗啊。,2137
2010-07-26 18:35:55,罗弘霉素,5,一遍烂，两遍笑，三遍哭。盘丝大仙给了三颗痣，斧头帮主翻过照妖镜，看着镜中的猴子，此处的配乐足够震撼,2093
2011-09-29 12:40:02,UrthónaD'Mors,4,逢年过节必放必看的经典 我记得片子里最后一句台词是：“你看那个人，好奇怪哟，象一条狗。” 多少的唏嘘感慨啊,1068
2008-09-27 21:12:29,尼桑，都是尼桑的错,0,当他奔赴一切穿越时空去拯救自己的爱人~~原来只是为了与另一个人的遇见~~,1792
2016-07-26 16:32:41,momo,5,那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。                                             18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。,1311
2009-07-31 03:19:50,托尼·王大拿,5,这才叫旷古烁今。,1547
2008-02-26 17:56:10,宋阿慕,5,大话西游是一代人心中的经典.,1230
2007-07-13 10:15:04,战国客,5,蛮好笑的，只是没觉得像大家分析的那么悬。不想深究，笑过就好~~,619
2016-02-09 23:05:24,windyisallin,5,终于完整看了一遍……所以至尊宝爱的是白晶晶，白晶晶爱的是孙悟空，孙悟空爱的是紫霞仙子，紫霞仙子爱的是至尊宝……,531
2016-11-10 00:37:01,张苑希,4,虽然至尊宝的命定之爱是紫霞，可是最初遇到的是晶晶啊，穿越时空寻找你却只替他人做了嫁衣。“我找到了一个很像你的人”。,467
2012-06-22 14:29:04,南笙,4,如果一个妖有人性呢，他就是人妖。,560
2016-12-28 23:45:38,雨果,5,莫文蔚趴在地上时说了一句话让我很感动，她说，我找到了一个和你很像的人。,583
2018-01-11 22:53:50,不错我就是神,4,哈哈，星爷的经典该怎么评呢？小时候看不太懂，长大了才看懂还看过好多遍，星爷的喜剧电影是唯一可以让我看3遍以上的电影。,232
2008-01-10 17:00:24,老鸡｜扶立,5,片尾曲真的很好听,728
2015-11-25 23:09:10,冰红深蓝,4,虽然很不喜欢这种恶搞西游记题材的荒诞喜剧，但确实拍得好。最有感觉的是反复穿越那一段：“为什么要说又呢？”。（8.0/10）,73
2017-03-01 20:00:08,甜椒Oli,5,现在我郑重宣布，这座山上所有的东西都是我的，包括你。,319
2006-02-23 02:10:04,影志,5,"经典不用说 没第2部好～",337
2005-09-12 20:09:27,大头绿豆,5,呵呵，1996年看的。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。,242
2012-08-18 01:45:10,朝暮雪,5,《西游记》被拍成了至少100部电影，最后还是两部《大话西游》最好。,187
2018-03-09 07:30:41,欣欣向荣,4,虽然没有在电影院看过，但是电影频道经常播，很好看，故事很有趣，紫霞仙子这么漂亮。,66
2017-11-06 14:26:03,遇见彩虹🌈,5,一代经典，据说上映的时候票房异常惨淡，也没有什么奖项。但现在还是西游系列标杆性的代表。,98
2015-12-03 14:09:02,梦里诗书,5,这是一部港片黄金年华的时代经典，如若说《大话西游之月光宝盒》令人仅是忍俊不禁，那么《大话西游之大圣娶亲》则是笑中带泪，周星驰乍看渣作的伊始，猜中了开头，却猜不到这结局，结局处那一句“好像一条狗”，道尽了人间不猜辛酸泪。,54
2013-06-20 05:42:55,Shudoku,2,神马乱七八糟的。。。过度被神化了的作品。80后们的爱情灵感居然是被这样混乱无厘头的一部剧都激发出来的。。。囧,175
2014-10-26 23:48:34,卢十四,5,在电影院里看《大话西游》，毫不意外的，湿了。,59
2007-07-25 13:07:27,薇羅尼卡,5,爱情是什么？,80
2018-02-10 22:34:34,、佚,5,星爷系列电影看的最多遍的是大话西游的2部确实是喜剧经典。,35
2018-04-07 11:42:51,👹天神的审判,4,星爷又一部经典影片之一，笑中有泪，其中最经典的台词就是，曾经有一份真挚的爱情放在我面前我没有去珍惜，直到失去后我才追悔莫及。人生中最痛苦的事莫过于此，如果一切可以重来，我会对那个女孩说:我爱你！如果要我在这份爱上加上一个期限一一一那会是一万年！很让人感动！,39
2017-12-16 18:52:06,午后的玛格丽特,2,哇 我真的没看下去…………这个经典真的太太太不对我的胃口了 我的感觉就是脏乱差…………除了周星驰一成不变的浮夸表演 几句搞笑的台词 我真的get不到任何有趣的点………果然我喜欢不起来这种奇幻动作古装片………只能说 和我的审美完全不符 ……………,43
2020-07-24 19:43:12,晚不安,5,二十多年后的今天，作为中文互联网文化的某种源头式的存在，解构革命被后来人不断接续并赋予合法性，“大话”已然从“颠覆”成为“原典”。能够在几代影迷心目中历久弥新，丝毫不因过度引用而沦为俗套，靠的是文本强大的生命力，以及所有演员独特的演绎。围绕至尊宝的身份认同，上部把重心放在“轮回”的概念上（对既定人物进行重写，以春三十娘诞下“时空悖论”为最），情节并非全然环环相扣，但诸多跳脱之处又与整体气质相偕。重看月光宝盒的经典桥段，却为二当家的爱情动容：尽管阴差阳错，毫无感情基础可言，却也在生死离别之际，迸出些许真情。无论看多少遍，还是会被无厘头的设计击中，但此番回味也多了几分凄凉：蓝洁瑛斯人已逝，周吴分道扬镳，刘镇伟江郎才尽……唯有作品长存，所有面孔鲜活，“爱你一万年”。#影院复工#,30
